identifier,Qidentifier,hierarcylevel,type,prefLabel,altLabel,translation,description,parent,parentQ,related,relatedQ,source,creator,closeMatch,relatedMatch,seeAlso,example
BC75G1,,3,Q2,Eisenlegierung,,iron alloy@en,"Legierung mit Eisen als Hauptbestandteil, die aufgrund ihrer Härte und Verfügbarkeit seit der Antike weit verbreitet für die Herstellung von Werkzeugen, Waffen und landwirtschaftlichen Geräten genutzt wurde. Die Entdeckung der Eisenherstellung (Verhüttung) stellt einen wichtigen Fortschritt in der technologischen Metallverarbeitung der Menschheitsgeschichte dar und beeinflusste maßgeblich die Entwicklung und Expansion antiker Kulturen. Eisenlegierungen sind der korrosionsanfälligste Werkstoff im Bereich archäologischer Restaurierung, wobei das Korrosionsgeschehen stark von der Legierungszusammensetzung und der Gefügestruktur abhängig ist. ",BBF566,,F71C6B,,K20,Q7|Q8,http://vocab.getty.edu/page/aat/300010904|http://d-nb.info/gnd/4014081-7,,,
GB5BGF,,3,Q2,Buntmetall,,nonferrous metal@en,"Sammelbegriff für farbige metallisch-reine Werkstoffe und deren Legierungen, außer Eisen und Edelmetalle. Sie zeichnen sich durch ihre Farbvielfalt aus und wurden bereits seit der frühsten Menschheitsgeschichte für ihre spezifischen Eigenschaften wie Härte, Korrosionsbeständigkeit und elektrische Leitfähigkeit geschätzt. ",BBF566,,,,,,,,,
B28FA6,,4,Q2,Kupfer,Cu|reines Kupfer,copper@en,"rot-bräunliches Metall mit dem chemischen Symbol Cu und der Ordnungszahl 29. Auch als ""Halbedelmetall"" bezeichnet. Kommt in der Natur in gediegener Form und als Erz vor. Erstes Metall, dass von den Menschen gezielt bearbeitet wurde. Kupfer ist korrossionsanfällig, wobei diese nicht immer aggressiv und zerstörend fortlaufend sein muss. Durch die Bildung einer Edelpatina kann das darunterliegende Metall geschützt sein und das Objekt gleichzeitig ein ästhetisch geschätztes Aussehen erhalten. ",GB5BGF,,,,https://cameo.mfa.org/wiki/Copper| K20,Q7|Q8,http://vocab.getty.edu/page/aat/300011020|https://www.wikidata.org/wiki/Q753|http://d-nb.info/gnd/4033734-0,,,
G992B6,,4,Q2,Blei,,lead@en,"weiches Metall von silber-gräulicher Farbe. Gehört zur Gruppe der Schwermetalle und wirkt giftig auf den menschlichen Körper. Kommt in der Natur seltener in gediegener Form vor. Wurde in der Antike sowohl für eigenständige Objektherstellung, als auch in Pigmenten und Glazuren sowie Legierungen mit anderen Metallen verwendet.",GB5BGF,,,,https://cameo.mfa.org/wiki/Lead,Q7|Q8,https://www.wikidata.org/wiki/Q708|http://vocab.getty.edu/page/aat/300011022,,,
G8AG1C,,4,Q2,Zink,,zinc@en,"weiß-bläuliches Metall. Kommt seltenen in gediegener Form, gebunden in Erzen jedoch recht häufig auf der Erse vor. In der Antike wurde es vor allem als Legierungsbestandteil, erst später auch in reiner Form oder als Beschichtung verarbeitet. In oxidischer Form ist Zink unter anderem auch in Pigmenten enthalten.",GB5BGF,,,,https://cameo.mfa.org/wiki/Zinc,Q7|Q8,http://vocab.getty.edu/page/aat/300011037| https://www.wikidata.org/wiki/Q758,,,
G78BD6,,4,Q2,Zinn,,tin@en,"silberweißes, sehr weiches Metall. Gehört zur Gruppe der Schwermetalle. Wurde in der Antike hauptsächlich als Legierungsbestandteil von (Zinn-)Bronze, später auch als reines Metall (v.a. für Geschirr und kleinere Kultobjekte), Beschichtungen und Lote verwendet.",GB5BGF,,,,https://de.wikipedia.org/wiki/Zinn,Q7|Q8,http://vocab.getty.edu/page/aat/300133748| https://www.wikidata.org/wiki/Q1096| https://cameo.mfa.org/wiki/Tin,,,
A82D86,,3,Q2,Buntmetalllegierung,Buntmetall,,"Sammelbezeichnung für farbige Legierungen mit schweren Nichteisenmetallen als Hauptbestandsteile. Wird in der archäologischen Restaurierung häufig als allgemeiner Oberbegriff für kupferhaltige Objektwerkstoffe verwendet, solange keine eindeutige Materialanalyse durchgeführt wurde",BBF566,,,,,Q7|Q8,https://www.wikidata.org/wiki/Q355809|http://vocab.getty.edu/page/aat/300011014 ,,,
FGB415,,4,Q2,Kupferlegierung,Kupferlegierungen,copper alloy@en,Legierung mit Kupfer als Hauptbestandteil,A82D86,,,,,Q7|Q8,https://www.wikidata.org/wiki/Q518350|http://vocab.getty.edu/page/aat/300010942,,,
BF7D14,,5,Q2,Bronze,Zinnbronze|Bronzen,bronze@en,"Kupferlegierung mit Zinn als zweiter Hauptbestandteil. Moderne Bronzen weisen in der Regel genormte Zusammensetzungen und gezielte Legierungsbestandteile auf. In historischen Bronzen finden sich, je nach Zeitstellung und Kultur, unter Umständen sehr unterschiedliche Zusammetzungen und andere Bestandteile, wie Zink, Silber, Blei, Antimon, Arsen, etc. Zur eindeutigen metallurgischen Bestimmung wird der Begriff Bronze häufig zusammen mit dem vorangestellten Hauptlegierungszusatz verwendet (Bleibronze, Arsenbronze, usw.). Bronze kann, je nach Legierungszusammensetzung, eine gelb-golde, rötliche bis weißliche Färbung aufweisen",FGB415,,,,https://cameo.mfa.org/wiki/Bronze,Q7|Q8,http://vocab.getty.edu/page/aat/300010957,https://www.wikidata.org/wiki/Q34095,,
A8B271,,5,Q2,Messing,,brass@en,"Kupferlegierung mit Zink als zweiter Hauptbestandteil in unterschiedlichen Massenanteilen. Weitere Legierungsbestandteile können zur Einstellung bestimmter Eigenschaften zugegeben sein. Messing kann, je nach Legierungszusammensetzung, eine hellgelbe, goldene bis bräunliche Färbung aufweisen.",FGB415,,,,https://cameo.mfa.org/wiki/Brass,Q7|Q8,https://www.wikidata.org/wiki/Q39782|http://vocab.getty.edu/page/aat/300010946,,,
A9CCG4,,5,Q2,Rotguss,Maschinenbronze|Rotmessing,red brass@en,Kupfer-Zinn-Zink-Blei-Legierung mit auffallend roter Farbe und guter Gießfähigkeit (daher die Namengebung).,FGB415,,,,https://de.wikipedia.org/wiki/Rotguss,Q7|Q8,https://www.wikidata.org/wiki/Q901715|http://vocab.getty.edu/page/aat/300133706 ,,,
B93G16,,5,Q2,Tombak,,tombac@en,"Kupfer-Zinn Legierung, mit hohem Kupferanteil. Ähnlich dem Messing, aber durch den höheren Kupferanteil von deutlich rötlicherer Farbe.",FGB415,,,,https://www.wikidata.org/wiki/Q756257,Q7|Q8,http://d-nb.info/gnd/4745413-1|http://vocab.getty.edu/page/aat/300196199|https://cameo.mfa.org/wiki/Tombac,,,
F387GB,,4,Q2,Bleilegierung,,lead alloy@en,Legierung mit Blei als Hauptbestandteil.,A82D86,,G992B6,,,Q7|Q8,http://d-nb.info/gnd/4145917-9|http://vocab.getty.edu/page/aat/300010932|https://cameo.mfa.org/wiki/Lead_alloys ,,,
G6A358,,4,Q2,Zinnlegierung,,tin alloy@en,Legierung mit Zinn als Hauptbestandteil,A82D86,,G78BD6,,,Q7|Q8,http://d-nb.info/gnd/4190903-3| https://www.wikidata.org/wiki/Q9346089| http://vocab.getty.edu/page/aat/300010978 | https://cameo.mfa.org/wiki/Tin_alloys ,,,
F15DFD,,4,Q2,Zinklegierung,,zinc alloy@en,Legierung mit Zink als Hauptbestandteil,A82D86,,G8AG1C,,,Q7|Q8,https://www.wikidata.org/wiki/Q204835| http://vocab.getty.edu/page/aat/300011000 | http://d-nb.info/gnd/4190861-2 | https://cameo.mfa.org/wiki/Zinc_alloys ,,,
CD3341,,1,Q2,organisches Material,Organik,organic@en,Allgemeiner Sammelbegriff für natürlich von Organismen gebildete Stoffe meist tierisch- oder pflanzlichen Ursprungs. ,B51DAF,Q12,,,,Q7|Q8,http://vocab.getty.edu/page/aat/300011792|https://cameo.mfa.org/wiki/Organic,https://www.wikidata.org/wiki/Q1783121,,
AB4988,,2,Q2,tierische Faser,Tierfaser,,,CD3341,,,,https://www.wikidata.org/wiki/Q28823,Q7|Q8,https://cameo.mfa.org/wiki/Textile,,,
G899F5,,3,Q2,Haar,,hair@en,,AA992C,,,,,Q7|Q8,,,,
AA992C,,4,Q2,Menschenhaar,menschliches Haar,human hair@en,,G899F5,,,,,Q7|Q8,,,,
F8DFCG,,4,Q2,Tierhaar,tierisches Haar|Fell,,,G899F5,,,,,Q7|Q8,,,,
DF96G1,,3,Q2,Wolle,,wool@en,,AB4988,,,,,Q7|Q8,,,,
F6F797,,3,Q2,Seide,,,,AB4988,,,,,Q7|Q8,,,,
DD9C25,,2,Q2,Pflanzenfasern,,,"Natürliche Fasern, die aus pflanzlichem Material gewonnen und für verschiedene Anwendungen, wie Textilien, Seilen, Körben, Schnüren oder Matten, verwendet wurden. ",CD3341,,,,,Q7|Q8,,,,
BC685F,,3,Q2,Flachs,Leinen,,,DD9C25,,,,,Q7|Q8,,,,
A2159C,,3,Q2,Bast,Rindenbast,,,DD9C25,,,,,Q7|Q8,,,,
A5G856,,3,Q2,Baumwolle,,cotton@en,,DD9C25,,,,,Q7|Q8,,,,
C3AF5A,,3,Q2,Hanf,,hemp@en,,DD9C25,,,,,Q7|Q8,,,,
G8533D,,3,Q2,Kapok,,,,DD9C25,,,,,Q7|Q8,,,,
D57G1G,,3,Q2,Nessel,,,,DD9C25,,,,,Q7|Q8,,,,
DFD2GD,,3,Q2,Planzenseide,,,,DD9C25,,,,,Q7|Q8,,,,
AG4634,,3,Q2,Jute,,,,DD9C25,,,,,Q7|Q8,,,,
D53ADA,,3,Q2,Papyrus,,,,DD9C25,,,,,Q7|Q8,,,,
D73F9B,,2,Q2,Leder,,leather@en,"Durch chemische Bearbeitung (Gerbung) haltbar gemachte Tierhaut. In der Antike und im Mittelalter wurde Leder vor allem für Schuhe, Kleidung und Behältnisse verwendet.",CD3341,,,,K6,Q7|Q8,https://cameo.mfa.org/wiki/Leather|http://vocab.getty.edu/page/aat/300011845,,,
A9A858,,2,Q2,Holz,,,"natürliches Material, hauptsächlich bestehend aus Zellulosefasern, Lignin und anderen organischen Bestandteilen. Holz ist aufgrund seiner Festigkeit, Vielseitigkeit und Verfügbarkeit ein wichtiger Rohstoff für Bau-, Möbel- und Kunsthandwerksanwendungen.",CD3341,,,,K15,Q7|Q8,,,,
C47769,,3,Q2,rezentes Holz,,,"Holz, das aus jüngsten oder aktuellen Baumstämmen oder Baumarten gewonnen wurde und im Vergleich zu archäologischem Holz kaum Abbauprozessen ausgesetzt war.",A9A858,,,,,Q7|Q8,,,,
C947B5,,3,Q2,archäologisches Holz,Nassholz,wet-wood@en,"Holz aus archäologischem Kontext. Damit sich Holz während der Bodenlagerung erhält, sind wassergesättigte und sauerstoffarme Bodenbedingungen nötig. Während Holz als organisches Material unter normalen Bedingungen in relativ kurzer Zeit verrottet, indem die chemischen Bestandteile von Mikroorganismen wie Pilzen und Bakterien sowie tierischen Schädlingen angegriffen und zersetzt werden, wird die Holzsubstanz unter sauerstofffreien oder zumindest sauerstoffreduzierten Bedingungen nur von anaeroben Bakterien zersetzt. Bei den Zersetzungsprozessen werden Cellulose und Hemicellulose nach und nach abgebaut, während das Ligningerüst oftmals weitestgehend erhalten bleibt. Die geschädigten und geschwächten Zellen werden durch Wasser ausgefüllt und sorgt dafür, dass die ursprüngliche Form des Holzartefakt erhalten bleibt.",A9A858,,,,K7,Q7|Q8,,,,
DFG875,,3,Q3,[Holzart],,,,A9A858,,,,,Q7|Q8,,,,
FC3FD6,,4,Q2,Nadelholz,,,,DFG875,,,,,Q7|Q8,,,,
G356D5,,5,Q2,Eibe,Taxus baccata,,,FC3FD6,,,,,Q7|Q8,,,,
G2944B,,5,Q2,Fichte,Picea abies,,,FC3FD6,,,,,Q7|Q8,,,,
A73FD7,,5,Q2,Kiefer,Pinus silvestris,,,FC3FD6,,,,,Q7|Q8,,,,
F5GA47,,5,Q2,Lärche,Larix decidua,,,FC3FD6,,,,,Q7|Q8,,,,
FCA7DA,,5,Q2,Tanne,Abies alba,,,FC3FD6,,,,,Q7|Q8,,,,
B7DD6B,,4,Q2,Laubholz,,,,DFG875,,,,,Q7|Q8,,,,
D39191,,5,Q2,ringporiges Laubholz,,,,B7DD6B,,,,,Q7|Q8,,,,
FG3BCD,,6,Q2,Eiche,Quercus robur,,,D39191,,,,,Q7|Q8,,,,
DBG8AD,,6,Q2,Esche,Fraxinus excelsior,,,D39191,,,,,Q7|Q8,,,,
G2C131,,6,Q2,Ulme,Ulmus campestris,,,D39191,,,,,Q7|Q8,,,,
DAA3F9,,5,Q2,zerstreutporiges Laubholz,,,,B7DD6B,,,,,Q7|Q8,,,,
CAD229,,6,Q2,Ahorn,Acer campestre,,,DAA3F9,,,,,Q7|Q8,,,,
BGG879,,6,Q2,Birke,Betula pendula,,,DAA3F9,,,,,Q7|Q8,,,,
B93452,,6,Q2,Buche,Fagus sylvatica,,,DAA3F9,,,,,Q7|Q8,,,,
FA1B26,,6,Q2,Buchsbaum,Buxus sempervirens,,,DAA3F9,,,,,Q7|Q8,,,,
F1BD88,,6,Q2,Erle,Alnus glutinosa,,,DAA3F9,,,,,Q7|Q8,,,,
GAG81G,,6,Q2,Hasel,Corylus avellana,,,DAA3F9,,,,,Q7|Q8,,,,
B44F39,,6,Q2,Linde,Tilia cordata,,,DAA3F9,,,,,Q7|Q8,,,,
ABBFB5,,6,Q2,Obstholz,Prunus,,,DAA3F9,,,,,Q7|Q8,,,,
B5C86F,,6,Q2,Pappel,Populus tremula,,,DAA3F9,,,,,Q7|Q8,,,,
GG1CG9,,6,Q2,Weide,Salix alba,,,DAA3F9,,,,,Q7|Q8,,,,
F1BA31,,2,Q2,Biomineral,,,,CD3341,,,,,Q7|Q8,,,,
B626A3,,3,Q2,Bein,Knochen,bone@en,"Werkstoffbezeichnung für Objekte aus Knochenmaterial. Knochen besteht hauptsächlich aus Calciumphosphat und Kollagen und bildet harte, dichte Gewebe. Wurde durch Bearbeitung und Formung von Knochen ein Objekt hergestellt, wie beispielsweise Griffschalen, Kämme oder Knöpfe, so wird dessen Material als ""Bein"" bezeichnet. ",F1BA31,,,,,Q7|Q8,,,,
BBC26F,,3,Q2,Horn,,,"Werkstoff aus hauptsächlich tierischem Keratin. Wird beispielsweise von Rindern, Schafen oder Ziegen gebildet und aufgrund seiner Festigkeit und gleichzeitig guter Formbarkeit für Griffe, Knöpfe oder dekorative Gegenstände verwendet.",F1BA31,,,,,Q7|Q8,,,,
B2F655,,3,Q2,Geweih,,antlers@en,,F1BA31,,,,,Q7|Q8,,,,
B77128,,3,Q2,Koralle,,coral@en,,F1BA31,,,,,Q7|Q8,,,,
A3D91B,,3,Q2,Muschel,,shell@en,,F1BA31,,,,,Q7|Q8,,,,
AG8F3A,,3,Q2,Perlmutt,,,,F1BA31,,,,,Q7|Q8,,,,
B69747,,3,Q2,Schnecke,Schneckenhaus,snail@en,,F1BA31,,,,,Q7|Q8,,,,
B59296,,3,Q2,Zahn,,tooth@en,,F1BA31,,,,,Q7|Q8,,,,
AG55BC,,4,Q2,Elfenbein,,ivory@en,,B626A3,,,,,Q7|Q8,,,,
DGC848,,4,Q2,Menschenzahn,,,,B59296,,,,,Q7|Q8,,,,
C12BC3,,4,Q2,Tierzahn,,,,B59296,,,,,Q7|Q8,,,,
B8B69D,,3,Q2,Bernstein,,,"Fossiles Harz von prähistorischen Bäumen, das über Millionen von Jahren polymerisiert und mineralisiert wurde. Als archäologisches Objekt ist Bernstein besonders wertvoll, da er oft organische Einschlüsse wie Insekten oder Pflanzen enthält, die wichtige Informationen über die Umwelt und Lebensbedingungen früherer Epochen liefern.",F1BA31,,,,https://de.wikipedia.org/wiki/Bernstein,Q7|Q17/Q8,,,,
G76A78,,2,Q2,Kaustobiolith,,,"Überbegriff für verfestigten Anreicherungen von organischen Kohlenstoffverbindungen (oder reinem Kohlenstoff) aus Überresten von Pflanzen und Tieren. Sie entstehen durch Umwandlung der organischen Materialien unter hohem Druck und Temperatur über geologische Zeiträume hinweg. Teilweise werden die Kaustobiolithe aufgrund ihrer Entstehungsart auch den sedimentären Gesteinen zugeordnet. Eine besondere Eigenschaft der Kaustobiolithe, die sie von den meisten ""klassischen"" Gesteinen unterscheidet, ist ihre Brennbarkeit. ",CD3341,,,,K17,Q7|Q17/Q8,,,,
A5B5B2,,3,Q2,Gagat,Jet,,"aus in Faulschlamm eingebetteten Hölzern entstandene besonders dichte und homogene Kohleart. Die Farbigkeit ist in der Regel von einem tiefen, samtigen schwarz, die Oberfläche glänzend und gut polierbar.",G76A78,,,,K17,Q7|Q17/Q8,,,,
GBF241,,3,Q2,Kohle,,,,G76A78,,,,,Q7|Q17/Q8,,,,
D467F2,,3,Q2,Pech,,,,G76A78,,,,,Q7|Q17/Q8,,,,
GB6DF3,,1,Q2,mineralisches Material,silikatische Materialien| Silikat,,"Oberbegriff für eine Vielzahl von nichtmetallischen, anorganischen Werkstoffen, die aus Mineralien bestehen oder aus diesen gewonnen werden.  ",B51DAF,Q12,,,,Q7|Q8,http://www.wikidata.org/entity/Q7130787 ,,,
A11ACA,,2,Q2,Keramik,,ceramic@en,"anorganischer, nicht-metallischer, durch das Brennen von Ton hergestellter Werkstoff",GB6DF3,,,,,Q7|Q8,http://vocab.getty.edu/page/aat/300235507 |http://www.wikidata.org/entity/Q45621 |https://cameo.mfa.org/wiki/Ceramic,,,
DA2D73,,2,Q2,Glas,,glas@en,"anorganischer, amorpher Feststoff, der durch schnelles Abkühlen einer Schmelze erzeugt wird. Gläser bestehen in der Rege aus Glasbildner (Quarzsand (SIO2)), Flussmittel (z.B. Soda (NA2O) oder Pottasche (K2O)) und Stabilisatoren (z.B. Calciumoxid (CaO) oder Calciumcarbonat (CaCO3))",GB6DF3,,,,https://cameo.mfa.org/wiki/Glass,Q7|Q8,http://vocab.getty.edu/page/aat/300010797,https://www.wikidata.org/wiki/Q11469,,
BGC9F3,,2,Q2,Mineral,,mineral@en,"anorganischer, chemisch und physikalisch homogener Festkörper, mit meist kristalliner Struktur. Minerale entstehend durch natürliche, geologische Prozesse und zeichnen sich durch unterschiedliche charakterisierende Eigenschaften aus. ",GB6DF3,,,,K17,Q7|Q8,,,,
C84834,,3,Q2,Quarz,,,,BGC9F3,,,,,Q7|Q8,,,,
A2C56B,,4,Q2,Amethyst,,,,C84834,,,,,Q7|Q8,,,,
C81F4D,,4,Q2,Calcedon,,,,C84834,,,,,Q7|Q8,,,,
B97F4A,,5,Q2,Achat,,,,C81F4D,,,,,Q7|Q8,,,,
GD13BC,,6,Q2,Sardonyx,,,,B97F4A,,,,,Q7|Q8,,,,
C5322D,,5,Q2,Jaspis,,,,C81F4D,,,,,Q7|Q8,,,,
BBA96A,,5,Q2,Karneol,,,,C81F4D,,,,,Q7|Q8,,,,
B9A8BF,,4,Q2,Bergkristall,,,,C84834,,,,,Q7|Q8,,,,
CGGB4G,,3,Q2,Feldspat,,,,BGC9F3,,,,,Q7|Q8,,,,
B86DFC,,3,Q2,Olivin,,,,BGC9F3,,,,,Q7|Q8,,,,
D2GB8G,,3,Q2,Serpentin,,,,BGC9F3,,,,,Q7|Q8,,,,
ACBGG7,,3,Q2,Talk,,,,BGC9F3,,,,,Q7|Q8,,,,
F68381,,3,Q2,Jadeit,Chloromelanit| Jade,,,BGC9F3,,,,,Q7|Q8,,,,
A986F9,,3,Q2,Augit,,,,BGC9F3,,,,,Q7|Q8,,,,
FA5484,,3,Q2,Amphibol,,,,BGC9F3,,,,,Q7|Q8,,,,
A43C59,,4,Q2,Hornblende,,,,FA5484,,,,,Q7|Q8,,,,
D2DD9G,,3,Q2,Tremolit,,,,BGC9F3,,,,,Q7|Q8,,,,
D8B5C3,,3,Q2,Gips,,,,BGC9F3,,,,,Q7|Q8,,,,
D1GC4D,,4,Q2,Alabaster,,,,D8B5C3,,,,,Q7|Q8,,,,
B452DG,,3,Q2,Malachit,,,,BGC9F3,,,,,Q7|Q8,,,,
D1788D,,3,Q2,Dolomit,,,,BGC9F3,,,,,Q7|Q8,,,,
D74F9D,,3,Q2,Granat,,,,BGC9F3,,,,,Q7|Q8,,,,
B3BCB6,,4,Q2,Almandin,,,,D74F9D,,,,,Q7|Q8,,,,
B3B831,,3,Q2,,,,,BGC9F3,,,,,Q7|Q8,,,,
A42FG3,,3,Q2,Lapislazuli,,,,BGC9F3,,,,,Q7|Q8,,,,
CA53A2,,3,Q2,Kaolinit ,,,"häufig in der Natur vorkommendes Tonmineral mit der chemischen Zusammensetzung Al₂Si₂O₅(OH)₄. Es entsteht hauptsächlich durch die Verwitterung feldspathaltiger Gesteine und kristallisiert in dünnen Blättchen oder Schuppen als Schichtsilikat. Die Farbigkeit ist meist weiß, aber auch braune, gelbe oder graue Färbungen sind möglich. Es besitzt eine feinkörnige Struktur, ist Hauptbestandteil von Kaolin und wurde typischerweise für die Herstellung von Keramik oder als Füllstoff für verschiedene technologische Prozesse verwendet. ",BGC9F3,,,,,Q7|Q8,,,,
D71467,,3,Q2,Illit,,,,BGC9F3,,,,,Q7|Q8,,,,
C39873,,3,Q2,Montmorillonit,,,,BGC9F3,,,,,Q7|Q8,,,,
D4FCB6,,3,Q2,Chlorit,,,,BGC9F3,,,,,Q7|Q8,,,,
D866AD,,2,Q2,Gestein,Stein,stone@en,"mehr oder weniger verfestigter Werkstoff aus mikroskopisch heterogenen Gemengen von Mineralen, Gesteinsbruchstücken, organischen und/oder anorganischen Ausscheidungen und Wasser (Kristallwasser). Hauptgemengeteile bilden Minerale wie Silikate (Feldspat, Quarz, Glimmer, etc.) und Karbonate (Calcit, Dolomit, etc.).",GB6DF3,,,,https://de.wikipedia.org/wiki/Gestein,Q7|Q8,https://cameo.mfa.org/wiki/Stone|https://www.wikidata.org/wiki/Q8063|https://cameo.mfa.org/wiki/Rock,http://vocab.getty.edu/page/aat/300011176,,
DF7826,,3,Q2,Magmatit,,,"Überbegriff für Gesteine, die aus Erstarrung einer Gesteinsschmelze entstehen. ",D866AD,,,,K17,,,,,
C6F794,,4,Q2,Lava,,,,DF7826,,,,,,,,,
F646B4,,4,Q2,Granit,,granite@en,"körniges Tiefengestein mit Quarzanteil von mehr als 20%. Die Farbigkeit wird allgemein als Hell beschrieben, wobei je nach mineralogischer Zusammensetzungen Abstufungen zwischen weißlich-grau, über rose-rot bis dunkelgrau-schwarz sowie gesprenkelte oder geflecke Texturen zu beobachten sind.",DF7826,,,,K17,,,,,
