identifier	Qidentifier	hierarcylevel	type	prefLabel	altLabel	translation	description	parent	parentQ	related	relatedQ	source	creator	closeMatch	relatedMatch	seeAlso	example
C5GA26		3	Q2	Reproduktion			Objekt, welches nach Vorbild eines von einer anderen Person angefertigten Originals hergestellt wurde, ohne das dieses Original im Vorfeld abgeformt wurde	C11192									
F9549F		3	Q2	Modell			Auf Forschungsergebnissen basierender Nachbau, ohne aktuell extistierendes Vorbild.	C11192									
F5G576		1	Q2	präventive Konservierung	präventive Maßnahmen		vorbeugende Maßnahmen zur Vermeidung oder Minimierung von künftigen Schaden, Abbau, Verlust und folglich invasivem Eingriff. Bei der präventiven Konservierung findet lediglich eine passive Einwirkung auf das Objekt statt (vgl. DIN EN 15898:2020-02).	CFGDA3				http://www.wikidata.org/entity/Q125400047	Q7|Q8				
AC16G1		2	Q2	Verpackung				F5G576									
D78721		2	Q2	Montage				F5G576									
F285B2		2	Q2	Risikomanagment				F5G576									
G76B7A		0	Q2	Technologische Auswertung	Interpretation		Erläuterung und Auslegung der während der Untersuchung und Bearbeitung eines Objektes festgestellten Beobachtungen und gewonnenen Erkentnisse hinsichtlich der anzunehmenden antiken Technologien	top									
F8F594		1	Q2	Herstellungstechnik			basierend auf den festgestellten Spuren angenommene Art und Weise wie das Objekt hergestellt worden ist	G76B7G									
F2244D		1	Q2	Verzierungstechnik			angenommene Methode(n), die zur Ausarbeitung der an dem Objekt festgestellten Verzierungselemente verwendet wurden	G76B7G									
CF3C22		1	Q2	Verwendungszweck	Gebrauch		angenommener Zweck für den das Objekt ursprünglich verwendet wurde	G76B7G									
G76B7G		0	Q2	Handlungsempfehlung			Durch einen fachlich qualifizierten Restaurator formulierte Hinweise zur Handhabung eines Objektes, um dieses nachhaltig vor negativer Beeinträchtigung zu schützen und zu erhalten	top									
D1CFD5		1	Q2	Lagerungsbedingungen				G76B7G									
D949G6		1	Q2	Handhabung	Händelbarkeit			G76B7G									
BGG5A6		1	Q2	Transportbedingungen				G76B7G									
D6A11G		1	Q2	Ausstellungsparameter				G76B7G									
CD5C3F		1	Q2	Gesundheitsschutz				G76B7G									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
D51B5G																	
F135A8																	
C6A532																	
BBB987																	
C2112G																	
B2D9C9																	
DAB4B7																	
D9F783																	
A44BG6																	
C369CB																	
A15D7G																	
A2GC16																	
B1DB9G																	
ADCC8A																	
DC3F7A																	
G967G1																	
B572B5																	
D41661																	
A44D5F																	
GC6999																	
G43DBC																	
C77G9C																	
CC2F9C																	
F968G3																	
GBDG4D																	
C8CG15																	
A8D3G1																	
BAA258																	
C473B4																	
GGD66G																	
D171FF																	
B2ADB6																	
C64BC8																	
D28G9A																	
FAFCF5																	
AD3A34																	
D16G86																	
C5G647																	
FDD71B																	
G7D438																	
A21DB2																	
C7859F																	
G23692																	
A8D9GF																	
GAC37B																	
B89818																	
FC4DGB																	
CF4199																	
C535G6																	
ABB9FA																	
FDC65D																	
D8CBG2																	
GA2C4A																	
A4G8FA																	
A889A3																	
A14228																	
D74F16																	
G8GAA6																	
ABCF99																	
GDCD91																	
A8588A																	
D99GD4																	
BBF64G																	
G1GA5F																	
C5GCB6																	
CB9GD3																	
D9C8A4																	
BGA41C																	
F6CG68																	
B4C3B9																	
D45638																	
FGG2C4																	
GB33C3																	
G84156																	
AF7CC8																	
BFGD3B																	
FA9B73																	
F97BFF																	
D2364A																	
A8AD1G																	
G3D2F5																	
A9B23D																	
G41GC6																	
FDB9F5																	
A255FD																	
G13A7B																	
CA7279																	
A946B5																	
F7AGD2																	
BAA12F																	
D3BFFF																	
F58F6D																	
FB231A																	
A2B5A3																	
AF9A88																	
B53C8F																	
D4AC7A																	
F9GC9A																	
DCD522																	
F66444																	
DAA4F8																	
FFA1AC																	
BFGB1A																	
DG129D																	
B3G5C7																	
F6739F																	
DD3A3D																	
FB7C46																	
D937D1																	
BFAC52																	
F2A5A7																	
F9C118																	
B69747																	
D68BAA																	
BCDC47																	
BFDB22																	
GC4CA7																	
DGC3A9																	
F7F2A4																	
G57G31																	
BG987D																	
ADA625																	
A379F4																	
C7861C																	
D2C2A9																	
GD5454																	
AGBB3C																	
C349C5																	
DA9G57																	
D66263																	
GCCD95																	
AA819F																	
C81216																	
B26D29																	
A9FF5A																	
A31C7C																	
C17A3G																	
CD536F																	
C7427F																	
D2D988																	
A6A248																	
G3GB59																	
G8A626																	
F589G5																	
AD143A																	
GAD222																	
CBDC4A																	
A6F2C7																	
A1B449																	
DAA82A																	
D152G6																	
BC75G1																	
GGA953																	
F7G7CB																	
GF2D65																	
FBGFC2																	
CC67B2																	
B14489																	
G734B3																	
D9F7AC																	
BAB7B1																	
D772G6																	
GB5BGF																	
G6A358																	
F15DFD																	
A9CCG4																	
B93G16																	
BBC26F																	
C47769																	
C947B5																	
DFG875																	
FBA768																	
FGBGA1																	
A77283																	
F387GB																	
DF633G																	
F8A93F																	
D7GGGG																	
F8323G																	
C99F9G																	
A3G356																	
C1218G																	
A72512																	
D7A4BC																	
DF5773																	
C838C1																	
A17D39																	
B23F5G																	
CCCC7G																	
A8245D																	
A2B583																	
GD5FG6																	
BFB3B9																	
DA86F8																	
B8B69D																	
FC3322																	
G55D63																	
DD9C25																	
F8915F																	
B372B4																	
D69829																	
F89522																	
F64B9C																	
A2G7B9																	
B221BB																	
DBG7BB																	
F1BA31																	
AG8F3A																	
B2F655																	
B77128																	
A3D91B																	
FGGBB2																	
B59296																	
AG55BC																	
C3AF5A																	
DF96G1																	
A5G856																	
G899F5																	
BGG879																	
B93452																	
G356D5																	
FG3BCD																	
DBG8AD																	
G2944B																	
A73FD7																	
F5GA47																	
B44F39																	
FCA7DA																	
G2C131																	
F6F797																	
F8DFCG																	
BC685F																	
G8533D																	
D57G1G																	
DFD2GD																	
AG4634																	
D53ADA																	
FC3FD6																	
B7DD6B																	
D39191																	
DAA3F9																	
CAD229																	
FA1B26																	
F1BD88																	
GAG81G																	
ABBFB5																	
B5C86F																	
GG1CG9																	
A5B5B2																	
DGC848																	
C12BC3																	
G76A78																	
GBF241																	
D467F2																	
G8282C																	
FBA99A																	
DF7826																	
C7F346																	
ABB166																	
F646B4																	
CDB814																	
D9B246																	
B21C51																	
CCBB4G																	
D51GA5																	
C7BG27																	
BGC9F3																	
GG4BF9																	
F85G77																	
ADD53A																	
BAB939																	
D6959D																	
DD91F6																	
DB13B8																	
G636F1																	
CB4C3C																	
B8224D																	
GGCA4G																	
ACD56G																	
DF1279																	
F2B8B7																	
DF9GCF																	
FGB66B																	
B71F12																	
CA53A2																	
B12CB4																	
C84834																	
A2C56B																	
C81F4D																	
B97F4A																	
GD13BC																	
C5322D																	
BBA96A																	
B9A8BF																	
CGGB4G																	
B86DFC																	
D2GB8G																	
ACBGG7																	
F68381																	
A986F9																	
FA5484																	
A43C59																	
D2DD9G																	
D8B5C3																	
D1GC4D																	
B452DG																	
D1788D																	
D74F9D																	
B3BCB6																	
B3B831																	
A42FG3																	
D71467																	
C39873																	
D4FCB6																	
GCF2G3																	
G34563																	
DFD1B7																	
D72F3A																	
BBA28A																	
B77A8F																	
D627B2																	
GGD87G																	
AFC696																	
G46243																	
D347D6																	
CD13GA																	
F61BGA																	
A8272G																	
CD477D																	
FGBB8G																	
A4G4G1																	
CA3B92																	
B6C1A7																	
BBF7BG																	
C9G1B6																	
C176FC																	
GG75C3																	
D11BD4																	
D9F9D8																	
F49B77																	
GG3G4B																	
B7395G																	
A5D92A																	
AA8A54																	
GA33BC																	
AA69FB																	
GBC8AC																	
B9D357																	
FC6F82																	
C1BBFB																	
A9A929																	
GF1639																	
DA841D																	
GD9CA3																	
DD3858																	
CBBF13																	
CCB66C																	
D865C3																	
B614CA																	
A22C84																	
C871CB																	
C4C6B6																	
C4D888																	
A9D149																	
FG9C55																	
A17G33																	
BAC366																	
BB8D78																	
F91427																	
B18615																	
A33F4B																	
DAG754																	
F432G4																	
G63684																	
C6F794																	
D9G51G																	
C6G87F																	
B4DFD5																	
F1G7C6																	
FA6CB8																	
C3D4BB																	
BC29CD																	
D9C342																	
AA2F1D																	
F9F6DG																	
AA992C																	
A2159C																	
BC1DCG																	
CD181F																	
B6B615																	
BADDA1																	
A75619																	
F845F7																	
DG8FG3																	
D2G12A																	
BA1BB6																	
A15F83																	
D81175																	
AF1328																	
G44C1A																	
F54686																	
D3A484																	
G7BADF																	
D4A6D1																	
FCA8C9																	
CB3941																	
B614CD																	
CB2D46																	
CFC44A																	
F84988																	
GD86C1																	
FA91B1																	
F5BDAB																	
BA71DA																	
C4AG61																	
C143C4																	
G379BF																	
A4CDG9																	
GC7994																	
D769C3																	
B2F4F2																	
FBFFF5																	
F573A5																	
GAD71G																	
D79DA6																	
DG7A1D																	
G2A47C																	
BF6339																	
DB581C																	
FBG2B1																	
AF5C86																	
BCG421																	
GCF63F																	
G2F586																	
G147AG																	
F7D3DB																	
CG49C6																	
A9AC1A																	
C82F3D																	
CB7747																	
D7D443																	
C5G53A																	
G5733B																	
G5G1DC																	
F49579																	
C1G6C8																	
AFD671																	
F19194																	
B7B8B6																	
DAFG27																	
D9G356																	
AGG387																	
B14C4A																	
A2FA1B																	
G73958																	
G17B8B																	
CG676B																	
FFAF3C																	
DADDD6																	
A17652																	
G87B12																	
D5F8G2																	
C5BD13																	
C33D85																	
FD2B2B																	
G6GG4C																	
G3GB79																	
B7A13A																	
D67657																	
BABA94																	
FB76BC																	
F988F4																	
G887B8																	
C5FAFF																	
B5D998																	
A6CD9G																	
AFFB47																	
FC7874																	
B61CC6																	
G4B128																	
BFA9BB																	
A2B2CD																	
FD2CC8																	
BD18A1																	
ABAD42																	
D6DFDB																	
D9G8B5																	
G859A7																	
DF986A																	
D9165B																	
C79172																	
CAF8AF																	
CG5F26																	
B2CC48																	
D1CA6B																	
BC92AG																	
AC319F																	
C3FGBG																	
B4AFF6																	
D642BC																	
G7497F																	
ADB89D																	
D44BAD																	
BA73A2																	
D75A3A																	
B64825																	
A8C667																	
ACG977																	
D18BBG																	
F6543A																	
G45985																	
A8B581																	
F1751B																	
C16778																	
ACA175																	
C5F279																	
FGF4G9																	
D92DAG																	
AA5F82																	
G6FB44																	
B28G12																	
FFC35B																	
G29AD2																	
C61723																	
F94C34																	
F22BD7																	
B437A9																	
C1A32C																	
B1B854																	
BAB7B3																	
BGFD79																	
C3D36A																	
DD6G2G																	
BGC695																	
DF7759																	
FD6617																	
B9835A																	
FFFCB7																	
BF6D19																	
A5C668																	
C9C527																	
BF3639																	
F396G6																	
A21993																	
B225DC																	
A19F86																	
GB8544																	
D1F5D3																	
DA2GD2																	
CC63FA																	
GC2F6A																	
GC8DCD																	
G16D2G																	
F3684F																	
GG6A8B																	
C8G54A																	
B47572																	
AF49C1																	
FDB79A																	
D4B599																	
B2B9C8																	
G2FA26																	
D1636C																	
CB58C2																	
G6841G																	
FBF2A3																	
G56866																	
G4G1DA																	
F2AG55																	
CG1531																	
D691FG																	
F4BD7F																	
FC926G																	
A7D71D																	
B5A14G																	
C61955																	
GD11CD																	
A6FA7G																	
G2FC47																	
DCF2A5																	
BA8198																	
F7F934																	
G5D8C5																	
G7F25F																	
CF39DD																	
FB7AB6																	
DD149D																	
G49676																	
FF5836																	
C27GA2																	
A41BGB																	
F56B83																	
A14455																	
D28564																	
B8ABD9																	
D2D671																	
C3G438																	
G12F98																	
B15G98																	
D38147																	
BB9249																	
G23A9A																	
F584FC																	
DD4B75																	
DAC425																	
D39264																	
F5G8DB																	
B49G3C																	
GA1687																	
A93F6C																	
A7824C																	
C77887																	
C4D6G3																	
C76568																	
AF6D7D																	
GCDG5D																	
A6CA1C																	
DB5G7D																	
C9C7C7																	
A8GFCC																	
AC1C85																	
CD784B																	
C35AG4																	
A99485																	
B69C57																	
CG2863																	
A57386																	
A7C8CB																	
BB7D84																	
C4F616																	
CD75GD																	
CC687C																	
BGACD3																	
D2F2D5																	
FF4767																	
BFB162																	
A28B4D																	
A974A4																	
F97896																	
A447D9																	
C65F47																	
A3D23D																	
D24653																	
DFDG2A																	
C97B35																	
C632FD																	
C9GD44																	
B69F1G																	
GA2D34																	
C33933																	
A9A54D																	
C2DF6G																	
C38B35																	
A8B27G																	
B33968																	
FBBAB1																	
A55FDF																	
F16511																	
CC2F8A																	
BDG3D5																	
F9D2A8																	
B41GC3																	
FB8DCB																	
AAG733																	
CAC1GA																	
F3DB41																	
DAA17A																	
A42BD6																	
FG21FF																	
B6CAB5																	
D5F7BC																	
FD8AG2																	
C4A859																	
FCB674																	
AD3B58																	
D75514																	
BC5A3C																	
F75BDB																	
A72G88																	
F43643																	
G98D28																	
FD27A8																	
GBA321																	
C622FG																	
D8B3D6																	
AF8F61																	
A64281																	
A1C48C																	
D5B73B																	
G2G253																	
B7AF8G																	
GC6983																	
BG71D3																	
G43GG2																	
D51GAA																	
AA47GG																	
B576DA																	
G593G4																	
A32B47																	
A7B4F9																	
DGF99C																	
BB1152																	
F4D633																	
CG825A																	
C456G9																	
CAB27G																	
B9741A																	
BGC8F3																	
D51358																	
BBA1C7																	
CA4B11																	
GB5A92																	
BFA1CC																	
G3368F																	
F57A2A																	
C6C3CF																	
CA59C2																	
B2642A																	
FGBB54																	
B9C457																	
A48485																	
BA264C																	
F85978																	
A24C1D																	
F2BDGC																	
FA9542																	
D248A4																	
BBF51F																	
ACG517																	
FB1DB1																	
A4D1G8																	
FG261C																	
B3C32F																	
B987B2																	
D6F46B																	
A1981F																	
F57GF5																	
F7FA5F																	
CBD3B1																	
DG6669																	
B39F5D																	
F8C982																	
F6DACG																	
BDG6A1																	
A4D45F																	
GB8C91																	
C5DDB2																	
F4D85A																	
FBF643																	
GF69G9																	
D525G6																	
ADD3D6																	
D12B51																	
BB5CBA																	
DFD616																	
C14D39																	
CF2831																	
G8138G																	
F41AC1																	
G86C9F																	
CC54F7																	
CAFBF4																	
C7A342																	
D2756F																	
B6B4FB																	
BC6CC5																	
AF13CG																	
AD725A																	
ADBB49																	
GGB71A																	
D78312																	
DBCBC8																	
B83FCD																	
C9G7AF																	
A6A465																	
C1AA15																	
B78C3F																	
F32AB3																	
A78587																	
B7GF4C																	
DAG216																	
G6A8G9																	
B64B59																	
GAD771																	
B56842																	
F9A5D2																	
BCB181																	
G55B96																	
BBC364																	
B915G6																	
G985BC																	
A8518D																	
F62CBB																	
AGF6F6																	
B467D5																	
B262B1																	
C267DG																	
AA9DFG																	
C1B2D8																	
C9C6DB																	
CCG53B																	
GD5111																	
G3D576																	
CF31F3																	
B8298C																	
A3B52A																	
C8D8D2																	
FG336A																	
B7269A																	
C576C8																	
AG87AA																	
CA61CF																	
A9445G																	
F765B4																	
D73A27																	
GB71C4																	
BD84CA																	
C198DF																	
D8B4GA																	
D756AD																	
GC82GB																	
F52473																	
D8589C																	
B1A1F3																	
F352GD																	
G639DF																	
BB129D																	
B444BF																	
A7G2F5																	
C3FBGG																	
GF4316																	
GG3775																	
A77CF8																	
B9A8A1																	
C8C75D																	
A48GFF																	
B7BB5A																	
D26466																	
CC6D68																	
B7C8B4																	
GA5CG9																	
BG6163																	
AF716B																	
G4CB78																	
CB396F																	
A54A33																	
AGFB82																	
G3FBG9																	
FD36AF																	
DCGG9B																	
F89F1B																	
D423A3																	
AGF63B																	
DD7A19																	
B8FB4B																	
ADDG62																	
D6966D																	
DDC8AC																	
D26G15																	
D294C4																	
DA162A																	
GFA1CG																	
DF95F9																	
AG7D11																	
DBA961																	
G918DD																	
BD1828																	
FC38D1																	
CC7988																	
G35311																	
BDB1D3																	
DB223A																	
FCG176																	
GD4BCF																	
BGD422																	
CG66AF																	
D9G614																	
G1258C																	
B7F544																	
F733BF																	
DF3D19																	
G5D6G1																	
DGAF2D																	
A8B8C3																	
GB3331																	
D32F29																	
AA2G25																	
ABF95D																	
FA96C4																	
DF813B																	
G4DFF9																	
AGC837																	
DAA94D																	
D25326																	
F95AB5																	
G22F8D																	
BG3A9F																	
C9996C																	
ADF9C4																	
GB3G94																	
C92C66																	
B3C6AA																	
A57DG8																	
G88C68																	
BB9956																	
C259B8																	
C3AGCF																	
F52172																	
GF42A6																	
CF56A2																	
C539C6																	
BG98G5																	
G2B22F																	
ABDF29																	
FB32DF																	
CGCBF3																	
C66F62																	
GB8GG5																	
B62A26																	
D48G9G																	
D3DAGD																	
D3828C																	
FAAA85																	
AD5B7C																	
C49775																	
AGF381																	
DDC72G																	
ACG7BF																	
D8G637																	
D5F6F5																	
FCA4C2																	
F6B3DD																	
F23232																	
C79293																	
FCBD2C																	
D5B8D1																	
A49C45																	
C7DD98																	
G8A611																	
FAGA2D																	
A46AF9																	
BB3191																	
CDDCG1																	
A193B5																	
G8816F																	
C8148B																	
C59DGB																	
A73DD3																	
DDG38B																	
F5267G																	
G97B89																	
C6B5F6																	
F1FF8F																	
A66913																	
GCA555																	
G2C8A5																	
F1B36A																	
CGD596																	
D1ACD6																	
B5D1GA																	
DB79B1																	
GB47D9																	
CC2F37																	
G12488																	
BA92D8																	
B15AG2																	
CCG1GB																	
C9CAC6																	
FB491F																	
CDD7A6																	
FF79A7																	
DDF849																	
C558G2																	
A2GDB3																	
D4B163																	
FC9D5C																	
B5G7FG																	
FB53GD																	
D2B283																	
B3F971																	
A431A4																	
ACGGD1																	
A3751D																	
A18848																	
AD2A6G																	
GAFGC4																	
B8BB3A																	
DG99D4																	
G895D1																	
A1G6B1																	
CCF8B6																	
G3C41G																	
AF47AA																	
D12CA9																	
GADC26																	
C71862																	
CB79D9																	
A65D9D																	
C4C4BB																	
F8GDG9																	
D36AFG																	
BD1DG4																	
F99C4G																	
DAB352																	
GD4A8G																	
BFC4F3																	
F52B9A																	
GC2G78																	
DGB6FD																	
A554AC																	
DDFB63																	
BF9B44																	
B2886F																	
GC2C23																	
A29B9A																	
F2CDF3																	
AF3949																	
F47CBC																	
FC5A36																	
FA5CC9																	
DB2867																	
GG8FC9																	
AG2G37																	
C8F7A7																	
G9G13B																	
AG8F5C																	
A75993																	
C2BF27																	
F61GF8																	
GBBBC6																	
A2FCBG																	
F31GB5																	
GG88FA																	
CF5F72																	
CD966B																	
A781DD																	
GD339A																	
G2B27A																	
AD6GB5																	
F8F42B																	
G284D7																	
DG697A																	
ABDF93																	
A5DGD2																	
CC7DDC																	
A63D58																	
D14G67																	
F951CB																	
A2B511																	
CGG8CG																	
DCD863																	
BCC72C																	
BF5648																	
D7F68B																	
C46F96																	
A72854																	
F7FA45																	
ADC799																	
B41734																	
A24886																	
G261AA																	
C95713																	
D8F855																	
FBCF35																	
G8B61D																	
CBG961																	
AF9DAB																	
A5G17A																	
BB442A																	
CCBF46																	
F5AG14																	
D468A3																	
CAFG4F																	
CG953A																	
D4FA65																	
CF1118																	
B4D3G1																	
D18749																	
B2BF33																	
FBF74F																	
A4FF3C																	
AG2FDG																	
A48CD5																	
C412FA																	
DD5885																	
A79B2G																	
FAA65D																	
C8G6G9																	
AF9345																	
C1CFF4																	
D3DB9C																	
CA4649																	
A222CD																	
G6859F																	
BCFFD2																	
C1G18F																	
DBADC3																	
GG9118																	
G622G3																	
GF98B5																	
GC62G7																	
D42AB9																	
FC2321																	
DB58F4																	
A14DD3																	
A6DC51																	
DG64F3																	
FFF77F																	
A3A589																	
D7G646																	
GBF965																	
CFC8BF																	
GC36FC																	
B5FB34																	
A1BAAB																	
B7F354																	
G4B3F8																	
CF514G																	
AB2G21																	
D7168D																	
A8G71D																	
F7A4F8																	
B87CA1																	
GC51CA																	
B6GA3D																	
AF6BG9																	
B2FD8F																	
A94C12																	
B54BGC																	
BBDD6G																	
D1DC7B																	
B6AFFA																	
BA67D9																	
B34D3G																	
G19AB7																	
F81C71																	
C88B9C																	
D349C2																	
C6DD74																	
CCGCC1																	
A189BB																	
DGFD52																	
BC73CD																	
D44C89																	
F714GC																	
A21286																	
G99967																	
B681C9																	
B86393																	
F9AB18																	
AB2C6F																	
C8C95G																	
G91D4D																	
F41F45																	
A9C8G2																	
D9DF75																	
G782F7																	
ABD979																	
BAA7C8																	
G3A5C3																	
GA4A41																	
G9CD27																	
D34B19																	
G28976																	
FFB5B4																	
G5347A																	
GG746C																	
F52FD2																	
B71339																	
C27645																	
G13D72																	
C5973B																	
B46CGF																	
FA4342																	
FCG69D																	
A77DFD																	
GD8B17																	
BGG71A																	
BG4CAB																	
C7A51C																	
G4974G																	
A16C6A																	
CG1F56																	
G47B1F																	
GA48A8																	
B83764																	
C424B8																	
D87B1C																	
FBA1GB																	
B34C2C																	
GB2C9F																	
AC7A56																	
CA456G																	
FFD68G																	
A9F74A																	
C7G4F5																	
C78F71																	
GC36C9																	
F98F73																	
G5C6A7																	
A7G79C																	
CC4D87																	
FD772G																	
G2G218																	
BC461D																	
B46C7F																	
BDD3D5																	
GGA4BC																	
F8BC53																	
C7C25C																	
BB8897																	
AB1FGC																	
GC56A5																	
GC2D23																	
GD21AC																	
FCDBG9																	
F3545F																	
FBFA23																	
D539B2																	
C65D17																	
A9C3BC																	
GB139B																	
A4A4B6																	
C1398F																	
B544B4																	
F7487C																	
F53971																	
C32A9D																	
CC789F																	
B6B6D7																	
D6A65D																	
BFC3CF																	
G9A11D																	
F4333A																	
AA4615																	
AA8163																	
GF8786																	
AGF7CD																	
D7BF2A																	
A9C7C5																	
D3CB26																	
AB19D2																	
B9861A																	
G6A7D9																	
GD254A																	
G83287																	
B57G62																	
D1G9AF																	
G5F161																	
CG25A7																	
C1BAG4																	
A6F925																	
B8F78C																	
F79498																	
F6CGD9																	
C8A1AB																	
A372B6																	
D2D1B5																	
DDFF94																	
D3C44B																	
DA9DD4																	
CGAB8D																	
D1G795																	
C47788																	
D17932																	
B441FB																	
C85495																	
D29C1A																	
GG8C2G																	
B9314F																	
DD85A6																	
C8B866																	
D1D265																	
F7BCC4																	
F8CCG4																	
G7A433																	
D6DG7F																	
C7DC66																	
C16232																	
DBA5A7																	
G25FG9																	
A14AD8																	
AF992C																	
G414C3																	
A19838																	
G2G691																	
BG973C																	
B75G22																	
C9F197																	
GB5546																	
F53G42																	
F198F4																	
CD5AC7																	
DC73BA																	
D1B7A7																	
GC171B																	
B818BD																	
D986F8																	
FDCA13																	
C38G5B																	
AB2C68																	
BC2263																	
B5B51F																	
C443A4																	
D2B31G																	
BF9781																	
F584A7																	
DG712C																	
B6C239																	
AF9G5F																	
B6A831																	
A878A8																	
G2C1G6																	
A76294																	
D3D4C8																	
BG5DBG																	
G5B1F5																	
F8CC95																	
C237AF																	
F646AA																	
C5C69A																	
C92759																	
DA592C																	
D6G6DA																	
FA2FF2																	
BCB8F7																	
A2D773																	
C65DAF																	
D64D97																	
C19GG3																	
GFBA32																	
B7A898																	
A71CG7																	
C38786																	
B825DD																	
BD3D43																	
D58CCD																	
F49F4C																	
AG27F5																	
D8F11B																	
B54A7C																	
C2797A																	
D62FF9																	
C48D8A																	
G2483D																	
BF483A																	
BA4561																	
B9C9D4																	
CF7DF5																	
A213GD																	
B8A2A7																	
B33D95																	
D8BA96																	
AFFB65																	
AG94A3																	
D1B157																	
G59A21																	
B445AC																	
C9A436																	
C59255																	
B247F8																	
A5C3F4																	
G9BD2A																	
D229F8																	
C7C568																	
AGD5A1																	
DBA6AC																	
GDCG32																	
A5B43G																	
GD489C																	
F9FGC5																	
GF7F84																	
C7649D																	
A1BB4D																	
D68DCC																	
F721GG																	
G1C76G																	
CC86B2																	
D37G8B																	
GD288A																	
FF2452																	
D53B1G																	
FG444F																	
AG187G																	
B7C9G9																	
CGG3FC																	
CC74GF																	
G2A792																	
D99246																	
FDD36B																	
G5AD7A																	
FA4745																	
G96317																	
BB6675																	
DFD8C6																	
B5D1F9																	
C2D2A3																	
DD986B																	
A25C46																	
D584AA																	
DF5671																	
C121F3																	
DA79FB																	
A94BCC																	
F8CA52																	
DB3464																	
A34655																	
FG7GC1																	
CD2834																	
AF1AB8																	
FDD1CA																	
A98C3A																	
G3A587																	
G9GCA8																	
CA868F																	
G8571B																	
A79C91																	
C4C66A																	
DF5D53																	
C5F353																	
G3CC8F																	
G73A56																	
FBD848																	
G7B274																	
FC5BBG																	
B9F1DD																	
F3CF51																	
DG464B																	
CCA738																	
AF31G6																	
BA2A34																	
C1D33B																	
B5469A																	
C7A973																	
G99631																	
A77CC6																	
B7GFCB																	
A9289B																	
CCG7C9																	
GDG796																	
A78191																	
C7FG67																	
GDA4C3																	
D781G7																	
D93152																	
F41D9D																	
DDC227																	
A4C31D																	
DG1126																	
G51G92																	
A56BDB																	
GF11A1																	
G99AC3																	
GD85A3																	
CGD481																	
D727A4																	
DD9A24																	
AG5F27																	
DCFG4B																	
AD61CF																	
AB5D71																	
B4B51G																	
DF85BD																	
FFFG8D																	
A14716																	
CF6G79																	
AG6BGC																	
A2F438																	
G9FD29																	
CA421C																	
AA1166																	
B4BG24																	
C3632B																	
G159AA																	
BC31D4																	
AF6D3D																	
CD2F5F																	
F54AA5																	
FF14GB																	
G89B5F																	
F3168G																	
A174AD																	
D2DD7F																	
C3BD24																	
DF84G9																	
GC4A91																	
B18A53																	
GA7B75																	
F28DGD																	
D8G418																	
BD6F16																	
A3ABD5																	
D63AF3																	
AB1B79																	
BC2DFG																	
CC714G																	
BBG732																	
F1F872																	
A25AA4																	
AG6F4C																	
FAD51F																	
DF1BB6																	
GC4F45																	
FA296A																	
C4C644																	
F18A6B																	
D5C529																	
AB5539																	
A4C2GA																	
FF2BD9																	
F634G9																	
B3CC48																	
D69A77																	
G946GB																	
C95825																	
A15GA8																	
AB85C9																	
D39D9D																	
DA4CG1																	
DA3A27																	
B195A3																	
GG32D7																	
A7713G																	
G46459																	
C92B12																	
G51BDG																	
GD2717																	
G5A12B																	
D4CF2C																	
BD5143																	
GF893G																	
D92F52																	
GA3A64																	
CB9D4C																	
FA1A48																	
C75BFB																	
D66AF2																	
DGCF4A																	
GA268F																	
C7FG2A																	
FAC941																	
CA85D5																	
GB8816																	
G78A95																	
A93AG6																	
FG4B1A																	
GC5CCC																	
C4D92D																	
F9D8D8																	
A892D6																	
ABD734																	
FBGAB4																	
F5721B																	
F68735																	
FBB1FD																	
CF581C																	
G95C3D																	
ADB83F																	
BCBD3D																	
G4311D																	
G61342																	
AFDD77																	
DC6327																	
D2BC44																	
B4BFGD																	
CA387B																	
AG13C6																	
D51BD4																	
CGCB6C																	
G7B853																	
F61F4F																	
C8GG8D																	
G7195D																	
G5543D																	
BF5ACF																	
D2F54A																	
A7AA5D																	
C4GD79																	
C7764G																	
G68AF9																	
G5B897																	
BC2D24																	
C98G4B																	
C89F1C																	
C2C883																	
GG4982																	
A57GAC																	
C83D64																	
D55CA4																	
C1G7C9																	
A47CC7																	
B47C71																	
F6FAC7																	
G39D25																	
B1D43G																	
BC7833																	
AG939B																	
CF429F																	
C2A196																	
G9G23D																	
A97881																	
C1BC61																	
ABG5C7																	
F8G317																	
FA35FB																	
A2F48B																	
GCC712																	
B31B77																	
CFAF82																	
G9A85F																	
BG348B																	
B23CG8																	
B325B9																	
A9D25A																	
A7D9F5																	
C2B758																	
AB7339																	
A632FD																	
FF2C6A																	
AD5555																	
D327DG																	
F9G246																	
A7DB6D																	
BAA6B9																	
B9B1A8																	
C6CBF7																	
DFF3A3																	
C61G6C																	
CB62B1																	
B4227A																	
F4619F																	
A22B5F																	
F45DBB																	
G944G7																	
FA5535																	
BD772D																	
F55AG1																	
DG56F1																	
ABA437																	
F365BB																	
D19791																	
DC36D6																	
F7CA14																	
D47663																	
CDA7C7																	
A6G5GF																	
D49771																	
AD3988																	
CBAAG1																	
G3D88D																	
C2CD5F																	
C129F8																	
C8BG2A																	
